회사명,종목코드,주요제품,홈페이지,sector,theme,계열사
SK바이오사이언스,302440,백신 제품 및 제제,http://www.skbioscience.co.kr,제약,코로나19(진단/치료제/백신 개발 등),SK
화승알앤에이,378850,자동차용 고무제품,http://www.hsrna.com,자동차부품,자동차부품,
프레스티지바이오파마,950210,바이오시밀러 및 항체의약품 신약,http://www.prestigebiopharma.com,제약,바이오시밀러(복제 바이오의약품),
솔루엠,248070,"POWER, 3in1 Board, ESL 등",http://www.solu-m.com,전자장비와기기,2021 상반기 신규상장,
DL이앤씨,375500,토목 건설 사업,,건설,건설 대표주,대림
ESR켄달스퀘어리츠,365550,부동산투자,http://www.esrks-reit.com,부동산,쿠팡 관련주,
명신산업,9900,자동차차체부품,http://www.myoungshinindustry.com,자동차부품,자동차부품,
에이플러스에셋,244920,보험대리 및 중개업,,손해보험,2020 하반기 신규상장,
교촌에프앤비,339770,치킨 프랜차이즈,http://kyochonfnb.com,식품,2020 하반기 신규상장,
하이브,352820,"음악 기획/제작, 퍼블리싱, 아티스트 매니지먼트",http://www.bighitcorp.com,방송과엔터테인먼트,엔터테인먼트,
티와이홀딩스,363280,지주사업,http://www.ty-holdings.co.kr,건설,지주사,태영
코람코에너지리츠,357120,부동산 투자 및 관리,http://www.koramcoenergyplus.co.kr,부동산,2020 하반기 신규상장,
제이알글로벌리츠,348950,벨기에 파이낸스 타워,http://jrglobalreit.com,부동산,2020 하반기 신규상장,
미래에셋맵스리츠,357250,부동산 임대업,http://www.maps1reit.miraeasset.com,부동산,2020 하반기 신규상장,
이지스레지던스리츠,350520,"부동산투자, 취득, 매매, 임대",http://igisresidencereit.com/,부동산,2020 하반기 신규상장,
이지스밸류플러스리츠,334890,"부동산투자, 취득, 매매, 임대",http://www.igisvaluereit.com,,,
에스케이바이오팜,326030,신경질환 및 정신질환을 포함한 중추신경 관련 신약 개발,,,,
대덕전자,353200,"PCB(Printed Circuit Board, 인쇄회로기판)의 제조 및 판매",http://www.daeduck.com,전자장비와기기,PCB(FPCB 등),
케이씨씨글라스,344820,판유리 등,http://www.kccglass.co.kr,건축자재,리모델링/인테리어,케이씨씨
NH프라임리츠,338100,부동산 투자,http://www.nhreits.com,부동산,2019 하반기 신규상장,농협
센트랄모텍,308170,"이너레이스, 오디 클러치보스, 로터샤프트, 슬리브기어, 컨트롤 암, 엑슬",http://www.centralmotek.co.kr,자동차부품,자동차부품,
현대에너지솔루션,322000,"태양광 셀·모듈, PV시스템, ESS",http://www.hyundai-es.co.kr/,에너지장비및서비스,태양광에너지,현대중공업
한화시스템,272210,"정밀기기(육해공군관련전자제어시스템,열영상감시장비,탐지추적장치,전투지휘체계시스템) 제조",http://hanwhasystems.com,우주항공과국방,2019 하반기 신규상장,한화
자이에스앤디,317400,"부동산 관리, 정보통신 공사, 아파트 AS 및 옵션 제품 공급, 건축물 시공 및 분양",http://www.xisnd.com/,건설,스마트홈(홈네트워크),GS
롯데리츠,330590,부동산투자,http://www.lottereit.co.kr/,부동산,2019 하반기 신규상장,롯데
지누스,13890,매트리스 및 가구제품,http://www.zinus.co.kr,가구,2019 하반기 신규상장,
두산퓨얼셀,336260,연료전지,http://www.doosanfuelcell.com,전기제품,수소차(연료전지/부품/충전소 등),두산
솔루스첨단소재,336370,"동박, 유압기기 등",http://www.solusadvancedmaterials.com,전자장비와기기,K-뉴딜지수,두산
제이콘텐트리,36420,"영화 및 방송프로그램 제작, 유통, 광고",http://www.jcontentree.com/,방송과엔터테인먼트,엔터테인먼트,
포스코케미칼,3670,"내화물, 생석회, 음극재 및 양극재",http://www.poscochemical.com/,화학,K-뉴딜지수,포스코
현대오토에버,307950,"전산실운영, 시스템구축, 전산장비 납품, SOC/건축 사업",http://www.hyundai-autoever.com,IT서비스,SI(시스템통합),현대자동차
드림텍,192650,"모바일 PBA, 지문인식 모듈, 전장 LED 모듈 등",http://www.idreamtech.co.kr,핸드셋,코로나19(진단키트),
더블유게임즈,192080,온라인 게임,,게임엔터테인먼트,K-뉴딜지수(게임),
우리금융지주,316140,금융지주,http://www.woorifg.com/,은행,지주사,
에어부산,298690,항공 여객 및 화물 운송,http://www.airbusan.com,항공사,항공/저가 항공사(LCC),금호아시아나
아시아나IDT,267850,"IT 서비스, IT 솔루션",http://www.asianaidt.com,IT서비스,SI(시스템통합),금호아시아나
세아제강,306200,강관,http://www.seahsteel.co.kr,철강,철강 주요종목,세아
하나제약,293480,완제의약품,http://www.hanaph.co.kr,제약,제약업체,
우진아이엔에스,10400,반도체/디스플레이 코팅덕트,http://www.woojini.com,건설,,
신한알파리츠,293940,비거주 부동산 임대 서비스업,http://www.shalphareit.com,부동산,리츠(REITs),
한일시멘트,300720,"시멘트, 레미콘, 레미탈",http://www.hanilcement.com,건축자재,시멘트/레미콘,
티웨이항공,91810,저가 항공운송,http://www.twayair.com,항공사,항공/저가 항공사(LCC),
롯데정보통신,286940,"SM, SI",http://www.ldcc.co.kr,IT서비스,블록체인,롯데
효성중공업,298040,-,http://www.hyosungheavyindustries.com,전기장비,원자력발전,효성
효성첨단소재,298050,PET타이어코드,http://www.hyosungadvancedmaterials.com,화학,수소차(연료전지/부품/충전소 등),효성
